#{"t_start": 1775412610.25416, "env_id": "None"}
r,l,t,raw_score,sequence_length
0.0,4,1.349276,0.0,4
112.27852,16,25.691898,1.1227851520203154,16
90.09802,32,49.315925,0.900980232040092,32
71.065254,16,79.417325,0.7106525105153846,16
87.78289,32,105.88968,0.8778289095439754,32
65.80609,8,134.658703,0.658060896046015,8
0.0,4,134.680183,0.0,4
117.44727,4,162.231295,1.1744727580657435,4
98.2596,16,192.0245,0.9825959939159183,16
94.93597,16,216.848625,0.9493596684400785,16
78.15345,8,240.577636,0.7815344647178488,8
0.0,4,240.603405,0.0,4
83.81603,8,273.832252,0.8381603484021252,8
108.79376,8,299.212881,1.08793760204371,8
71.596825,8,323.732748,0.7159682550253008,8
1.2759597,32,350.230796,0.01275959673364114,32
0.0,4,350.255471,0.0,4
116.09074,16,385.581419,1.1609073626758124,16
119.977165,4,420.365529,1.1997716798350782,4
119.47989,32,453.793773,1.1947988794601465,32
1.8995444,32,489.578012,0.01899544412724697,32
119.91468,32,525.810496,1.199146833516545,32
110.07148,16,561.937612,1.100714820496407,16
0.0,4,561.953792,0.0,4
1.4261223,32,594.578558,0.014261223435637066,32
105.875885,4,630.871553,1.0587588285500464,4
119.9199,16,667.964242,1.1991990081508568,16
48.158398,32,703.10626,0.4815839732422708,32
0.0,4,703.133235,0.0,4
0.8000358,16,739.093848,0.008000357464573938,16
98.57492,4,775.154696,0.9857492440656641,4
106.86678,8,809.840345,1.0686677969175673,8
40.03529,8,845.073403,0.4003529112326858,8
0.34031495,4,875.934621,0.0034031495276962737,4
1.4239594,32,908.970051,0.014239594074035042,32
17.29819,16,944.46521,0.1729818955497249,16
8.332334,32,976.995365,0.08332333403006574,32
0.65929246,16,1013.561275,0.006592924824216025,16
114.11177,8,1048.371459,1.1411176753656394,8
70.252174,32,1082.186464,0.7025217389844479,32
114.22355,8,1117.636118,1.1422354591782655,8
82.47791,32,1151.463629,0.8247791434597951,32
88.89905,32,1184.247209,0.8889905113137284,32
0.14315355,4,1214.050666,0.001431535478669654,4
59.67021,16,1246.361233,0.5967021197547407,16
118.13691,16,1278.622654,1.1813690745385328,16
2.7198353,32,1309.648579,0.027198353054715466,32
101.16527,8,1341.988759,1.0116526471984388,8
78.548,8,1374.548044,0.7854800001060742,8
94.91899,4,1405.847431,0.9491898825657781,4
98.63048,32,1438.337395,0.9863047804681213,32
119.82552,8,1469.598062,1.1982552393037473,8
1.4472822,32,1500.353628,0.014472822386009847,32
115.24622,8,1533.621623,1.1524622672372034,8
119.66268,16,1566.265501,1.1966268436907999,16
119.84617,8,1599.713793,1.1984616645475785,8
118.47262,4,1632.922338,1.1847261637249085,4
97.12709,32,1665.660131,0.9712708984081507,32
84.74343,4,1699.420628,0.8474342924699093,4
119.74953,16,1732.88181,1.1974952629151763,16
73.99312,4,1763.538146,0.739931175696011,4
90.10857,4,1794.326412,0.9010856329166115,4
88.00598,4,1826.448055,0.8800598502828638,4
119.74695,8,1858.744298,1.1974694521318252,8
46.47191,16,1892.741659,0.46471909812199097,16
105.399574,32,1926.219831,1.0539957482885745,32
43.27025,32,1958.618981,0.4327024741863018,32
92.73539,4,1992.004972,0.9273538846821959,4
2.519812,32,2024.159444,0.02519812010430991,32
116.823654,4,2058.021831,1.1682365731863673,4
0.0,4,2058.040593,0.0,4
78.74927,8,2093.462674,0.7874927096666258,8
77.04328,8,2127.194552,0.7704328279543465,8
97.299934,8,2160.031246,0.9729993482782865,8
66.68193,16,2193.426823,0.6668192750825133,16
81.24185,32,2226.921771,0.8124185062902152,32
97.75649,16,2260.097316,0.9775649045590085,16
72.37366,4,2291.384137,0.7237365508613773,4
0.0,4,2291.405443,0.0,4
119.889915,8,2324.722805,1.1988991192762202,8
83.41916,16,2359.100947,0.8341916092342805,16
115.29335,16,2393.526758,1.1529335393252367,16
69.12178,16,2428.178303,0.691217815113017,16
49.73272,4,2459.717203,0.49732718849390795,4
119.93403,4,2494.764768,1.1993402962101236,4
119.97053,8,2528.199744,1.1997052656591742,8
91.27743,4,2562.039043,0.9127742432876814,4
83.80782,4,2596.2856,0.8380782470537351,4
42.332752,16,2631.197527,0.4233275302321988,16
89.855125,16,2666.642103,0.8985512209927488,16
0.729901,16,2700.787753,0.0072990100112235124,16
114.67424,32,2733.131058,1.146742409066932,32
4.8134146,32,2764.299877,0.048134144286497836,32
